Date,Open,High,Low,Close,Adj Close,Volume
1994-02-22,7.375,7.375,7.25,7.25,3.613604784011841,20800.0
1994-02-23,7.125,7.125,6.75,6.9375,3.4578464031219482,31600.0
1994-02-24,6.9375,6.9375,6.8125,6.8125,3.395542621612549,32000.0
1994-02-25,6.6875,6.6875,6.25,6.4375,3.2086315155029297,49800.0
1994-02-28,6.5,6.75,6.4375,6.625,3.3020880222320557,170400.0
1994-03-01,6.625,6.625,6.5,6.5625,3.27093505859375,41600.0
1994-03-02,6.4375,6.5625,6.4375,6.5625,3.27093505859375,67000.0
1994-03-03,6.625,6.625,6.5,6.5,3.2397842407226562,27800.0
1994-03-04,6.5,6.75,6.4375,6.75,3.364389181137085,358200.0
1994-03-07,6.4375,6.8125,6.4375,6.75,3.364389181137085,690800.0
1994-03-08,6.75,6.8125,6.75,6.8125,3.395542621612549,515200.0
1994-03-09,6.8125,6.875,6.8125,6.875,3.426694631576538,540400.0
1994-03-10,6.875,6.875,6.8125,6.875,3.426694631576538,1832200.0
1994-03-11,6.9375,7.1875,6.9375,7.1875,3.5824549198150635,1895400.0
1994-03-14,7.1875,7.625,7.1875,7.5625,3.7693636417388916,1413800.0
1994-03-15,7.5625,7.6875,7.4375,7.4375,3.7070584297180176,1665200.0
1994-03-16,7.4375,7.4375,7.3125,7.4375,3.7070584297180176,717000.0
1994-03-17,7.4375,7.6875,7.4375,7.5625,3.794875383377075,971200.0
1994-03-18,7.625,7.6875,7.625,7.625,3.8262388706207275,1178000.0
1994-03-21,7.625,7.6875,7.625,7.6875,3.8575997352600098,659400.0
1994-03-22,7.6875,7.875,7.6875,7.8125,3.9203250408172607,374000.0
1994-03-23,7.8125,7.9375,7.75,7.875,3.951688289642334,430200.0
1994-03-24,7.8125,7.875,7.75,7.75,3.8889641761779785,747000.0
1994-03-25,7.8125,7.8125,7.625,7.6875,3.8575997352600098,370000.0
1994-03-28,7.6875,7.6875,7.625,7.625,3.8262388706207275,1116200.0
1994-03-29,7.625,7.6875,7.5,7.5,3.763512372970581,595800.0
1994-03-30,7.5,7.5,7.3125,7.375,3.7007856369018555,653000.0
1994-03-31,7.375,7.4375,7.25,7.375,3.7007856369018555,448400.0
1994-04-04,7.125,7.375,7.125,7.375,3.7007856369018555,386600.0
1994-04-05,7.3125,7.6875,7.3125,7.625,3.8262388706207275,361600.0
1994-04-06,7.625,7.6875,7.375,7.375,3.7007856369018555,551400.0
1994-04-07,7.5,7.5,7.375,7.4375,3.7321488857269287,338400.0
1994-04-08,7.3125,7.5,7.3125,7.5,3.763512372970581,166000.0
1994-04-11,7.5,7.625,7.25,7.25,3.6380624771118164,424800.0
1994-04-12,7.125,7.25,7.125,7.125,3.5753347873687744,602800.0
1994-04-13,7.125,7.3125,7.0,7.0,3.5126099586486816,504600.0
1994-04-14,7.0625,7.0625,6.9375,6.9375,3.4812493324279785,378200.0
1994-04-15,6.875,7.0625,6.875,6.875,3.44988751411438,197600.0
1994-04-18,7.0,7.25,7.0,7.25,3.6380624771118164,184800.0
1994-04-19,7.1875,7.3125,7.1875,7.25,3.6380624771118164,122200.0
1994-04-20,7.3125,7.3125,7.125,7.125,3.5753347873687744,201400.0
1994-04-21,7.125,7.3125,6.875,6.875,3.44988751411438,858200.0
1994-04-22,7.0,7.25,7.0,7.25,3.6380624771118164,411400.0
1994-04-25,7.1875,7.625,7.1875,7.625,3.8262388706207275,330600.0
1994-04-26,7.5625,7.5625,7.25,7.375,3.7007856369018555,313400.0
1994-04-28,7.3125,7.3125,7.125,7.3125,3.6694231033325195,161600.0
1994-04-29,7.25,7.3125,7.1875,7.25,3.6380624771118164,344600.0
1994-05-02,7.1875,7.3125,7.0625,7.1875,3.606701135635376,135800.0
1994-05-03,7.25,7.4375,7.125,7.1875,3.606701135635376,375200.0
1994-05-04,7.125,7.375,7.125,7.3125,3.6694231033325195,491800.0
1994-05-05,7.3125,7.3125,7.1875,7.25,3.6380624771118164,152800.0
1994-05-06,7.25,7.3125,7.25,7.25,3.6380624771118164,272800.0
1994-05-09,7.25,7.3125,7.25,7.25,3.6380624771118164,161600.0
1994-05-10,7.25,7.5,7.25,7.5,3.763512372970581,308200.0
1994-05-11,7.5,7.6875,7.5,7.5625,3.794875383377075,388600.0
1994-05-12,7.5,7.75,7.5,7.75,3.8889641761779785,155000.0
1994-05-13,7.6875,7.75,7.375,7.375,3.7007856369018555,105200.0
1994-05-16,7.375,7.5625,7.375,7.4375,3.7321488857269287,206800.0
1994-05-17,7.5,7.5625,7.4375,7.5,3.763512372970581,422600.0
1994-05-18,7.5,7.5,7.4375,7.5,3.763512372970581,130800.0
1994-05-19,7.4375,7.625,7.375,7.5625,3.794875383377075,199400.0
1994-05-20,7.5,7.5625,7.375,7.375,3.7007856369018555,119600.0
1994-05-23,7.3125,7.375,7.25,7.25,3.6380624771118164,195600.0
1994-05-24,7.4375,7.5625,7.375,7.5625,3.794875383377075,158200.0
1994-05-25,7.5,7.75,7.5,7.6875,3.8575997352600098,104800.0
1994-05-26,7.75,7.75,7.5625,7.75,3.8889641761779785,345800.0
1994-05-27,7.6875,7.8125,7.625,7.8125,3.9203250408172607,298000.0
