Date,Open,High,Low,Close,Adj Close,Volume
1998-02-27,17.375,18.0,17.375,17.375,14.896712303161621,50000
1998-03-02,17.25,17.25,17.0,17.25,14.789539337158203,75000
1998-03-03,17.125,17.125,16.75,17.125,14.682369232177734,35000
1998-03-04,15.75,15.75,15.5,15.75,13.50349235534668,60000
1998-03-05,16.125,16.125,16.125,16.125,13.82500171661377,400
1998-03-06,16.125,16.375,16.125,16.125,13.82500171661377,3600
1998-03-09,16.125,16.5,15.875,15.875,13.610662460327148,3200
1998-03-10,15.875,16.875,15.875,16.25,13.932173728942871,56800
1998-03-11,16.25,16.5,16.125,16.25,13.932173728942871,10400
1998-03-12,16.25,16.375,16.125,16.375,14.039344787597656,3800
1998-03-13,16.5,16.5,16.5,16.5,14.14651870727539,1000
1998-03-16,16.5,16.5,16.125,16.125,13.82500171661377,7700
1998-03-17,16.125,16.125,15.75,15.875,13.610662460327148,28000
1998-03-18,15.875,16.125,15.75,16.125,13.82500171661377,45700
1998-03-19,16.125,17.375,16.0,17.125,14.682369232177734,383600
1998-03-20,17.25,17.75,17.25,17.75,15.218221664428711,275600
1998-03-23,17.75,19.0,17.375,18.875,16.182758331298828,398600
1998-03-24,18.875,19.875,18.875,19.75,16.932952880859375,261800
1998-03-25,19.75,20.125,19.5,19.875,17.040122985839844,135600
1998-03-26,19.875,19.875,19.25,19.625,16.82577896118164,26300
1998-03-27,19.625,19.75,18.375,19.25,16.504270553588867,62200
1998-03-30,19.25,19.875,19.25,19.875,17.040122985839844,49500
1998-03-31,19.875,20.25,19.875,20.125,17.254467010498047,79000
1998-04-01,20.125,20.625,20.0,20.5,17.57597541809082,150100
1998-04-02,21.75,23.375,21.75,23.25,19.933731079101562,140500
1998-04-03,23.25,26.125,21.75,24.75,21.219778060913086,458700
1998-04-06,24.75,26.0,23.0,24.0,20.576751708984375,105300
1998-04-07,24.0,24.0,22.125,22.125,18.969202041625977,152800
1998-04-08,22.125,23.0,21.0,22.5,19.29070472717285,45100
1998-04-09,22.5,23.0,22.25,23.0,19.719383239746094,151400
1998-04-13,23.0,23.25,22.375,22.625,19.39787483215332,85900
1998-04-14,22.625,23.0,22.5,22.75,19.505046844482422,322900
1998-04-15,22.75,22.875,21.5,21.75,18.647680282592773,23100
1998-04-16,21.75,21.75,20.875,21.25,18.218996047973633,55400
1998-04-17,21.25,21.625,21.0,21.625,18.54051399230957,15100
1998-04-20,21.625,22.125,21.25,22.125,18.969202041625977,92900
1998-04-21,22.125,22.125,21.75,22.125,18.969202041625977,23100
1998-04-22,22.125,23.625,22.125,23.0,19.719383239746094,60900
1998-04-23,23.0,23.5,23.0,23.5,20.1480655670166,242300
1998-04-24,23.5,23.625,22.0,22.0,18.86202049255371,100900
1998-04-27,22.0,22.5,19.875,20.875,17.897489547729492,52200
1998-04-28,20.875,21.875,20.75,21.5,18.433338165283203,29100
1998-04-29,21.5,22.5,21.0,22.5,19.29070472717285,101300
1998-04-30,22.5,23.25,22.375,23.0,19.719383239746094,116300
1998-05-01,23.0,23.125,22.0,22.125,18.969202041625977,61000
1998-05-04,22.125,22.25,21.25,21.625,18.54051399230957,58400
1998-05-05,21.625,21.75,20.75,21.25,18.218996047973633,44000
1998-05-06,21.25,22.0,20.875,22.0,18.86202049255371,47300
