Date,Open,High,Low,Close,Adj Close,Volume
1996-12-17,3.75,3.75,3.5,3.5,2.729614496231079,1272400
1996-12-18,3.5,3.59375,3.3125,3.5625,2.7783570289611816,1186800
1996-12-19,3.59375,3.71875,3.59375,3.65625,2.8514721393585205,528800
1996-12-20,3.625,3.71875,3.625,3.71875,2.9002151489257812,233200
1996-12-23,3.75,3.84375,3.71875,3.8125,2.973329782485962,57200
1996-12-24,3.84375,3.90625,3.84375,3.90625,3.0464444160461426,14000
1996-12-26,3.90625,3.9375,3.8125,3.8125,2.973329782485962,22000
1996-12-27,3.8125,3.8125,3.8125,3.8125,2.973329782485962,800
1996-12-30,3.84375,3.84375,3.78125,3.78125,2.9489586353302,28400
1996-12-31,3.75,3.78125,3.75,3.78125,2.9489586353302,15600
1997-01-02,3.75,3.75,3.65625,3.65625,2.8514721393585205,710000
1997-01-03,3.65625,3.78125,3.65625,3.75,2.924586534500122,1579600
1997-01-06,3.78125,3.8125,3.75,3.78125,2.9489586353302,2490800
1997-01-07,3.8125,4.0,3.78125,4.0,3.1195597648620605,641200
1997-01-08,4.0625,4.1875,4.03125,4.03125,3.143930196762085,336000
1997-01-09,4.03125,4.09375,4.03125,4.0625,3.168301820755005,459200
1997-01-10,4.09375,4.125,4.0625,4.09375,3.1926732063293457,812800
1997-01-13,4.09375,4.09375,4.0,4.0625,3.168301820755005,3370000
1997-01-14,4.21875,4.4375,4.1875,4.4375,3.4607598781585693,2018000
1997-01-15,4.3125,4.34375,4.09375,4.09375,3.1926732063293457,2648400
1997-01-16,4.0,4.0625,3.96875,4.0,3.1195597648620605,2926000
1997-01-17,4.0,4.0625,3.96875,4.03125,3.143930196762085,1323600
1997-01-20,4.0,4.03125,3.96875,3.96875,3.0951876640319824,2368400
1997-01-21,4.0,4.03125,4.0,4.0,3.1195597648620605,2347200
1997-01-22,4.03125,4.03125,4.0,4.0,3.1195597648620605,2797600
1997-01-23,4.0625,4.15625,4.0625,4.09375,3.1926732063293457,1058800
1997-01-24,4.09375,4.28125,4.03125,4.03125,3.143930196762085,1254800
1997-01-27,4.03125,4.09375,4.03125,4.03125,3.143930196762085,1658000
1997-01-28,4.03125,4.1875,4.0,4.0,3.1195597648620605,1005600
1997-01-29,4.0,4.09375,3.96875,4.0,3.1195597648620605,1512000
1997-01-30,4.0,4.0625,3.96875,4.0,3.1195597648620605,2211200
1997-01-31,3.9375,4.0,3.90625,3.9375,3.0708160400390625,1540400
1997-02-03,3.9375,4.0625,3.90625,4.0625,3.168301820755005,1889600
1997-02-04,4.0625,4.125,4.03125,4.125,3.2170450687408447,1865600
1997-02-05,4.125,4.15625,4.09375,4.15625,3.2414162158966064,458400
