Date,Open,High,Low,Close,Adj Close,Volume
2000-10-06,2.546875,2.578125,2.34375,2.4375,1.7660211324691772,7776800
2000-10-09,2.4296875,2.4296875,2.265625,2.265625,1.6414945125579834,2759200
2000-10-10,2.25,2.375,2.25,2.296875,1.6641358137130737,2257600
2000-10-11,2.2890625,2.2890625,2.203125,2.21875,1.607532262802124,3709600
2000-10-12,2.1875,2.1875,2.0,2.109375,1.5282878875732422,4552000
2000-10-13,2.078125,2.15625,2.0625,2.15625,1.5622496604919434,1595200
2000-10-16,2.15625,2.1875,2.140625,2.1640625,1.5679101943969727,1236800
2000-10-17,2.15625,2.328125,2.15625,2.296875,1.6641358137130737,620000
2000-10-18,2.28125,2.296875,2.171875,2.1796875,1.5792306661605835,1392000
2000-10-19,2.1953125,2.203125,2.125,2.1328125,1.5452691316604614,1219200
2000-10-20,2.1484375,2.1484375,2.109375,2.125,1.5396084785461426,1064800
2000-10-23,2.125,2.125,2.09375,2.09375,1.5169671773910522,1488800
2000-10-24,2.125,2.1875,2.1171875,2.1875,1.5848913192749023,533600
2000-10-25,2.1875,2.34375,2.171875,2.28125,1.6528147459030151,1664000
2000-10-26,2.265625,2.265625,2.203125,2.265625,1.6414945125579834,338400
2000-10-27,2.2890625,2.453125,2.2734375,2.4375,1.7660211324691772,400000
2000-10-30,2.4140625,2.6875,2.40625,2.6875,1.9471516609191895,741600
2000-10-31,2.8125,3.03125,2.8125,2.921875,2.116961717605591,3561600
2000-11-01,2.890625,2.9296875,2.796875,2.8984375,2.099980592727661,2935200
2000-11-02,2.9140625,3.015625,2.890625,2.984375,2.1622440814971924,914400
2000-11-03,2.953125,3.15625,2.875,3.15625,2.286771535873413,2640800
2000-11-06,3.15625,3.15625,3.0,3.0078125,2.1792256832122803,677600
2000-11-07,3.0,3.0,2.890625,2.96875,2.150923490524292,866400
2000-11-08,2.78125,3.0,2.703125,3.0,2.173564910888672,2896000
2000-11-09,3.0,3.03125,2.921875,2.9921875,2.1679043769836426,1449600
2000-11-10,2.984375,3.125,2.984375,3.09375,2.241488456726074,368000
2000-11-13,3.0625,3.0625,2.75,2.765625,2.0037548542022705,726400
2000-11-14,2.75,2.84375,2.65625,2.84375,2.0603580474853516,1000800
2000-11-15,2.859375,2.90625,2.8046875,2.875,2.0829994678497314,736800
2000-11-16,2.859375,2.875,2.859375,2.8671875,2.0773398876190186,72800
2000-11-17,2.890625,2.921875,2.8515625,2.921875,2.116961717605591,272800
2000-11-20,2.90625,2.90625,2.75,2.84375,2.0603580474853516,264800
2000-11-21,2.8359375,2.84375,2.8203125,2.828125,2.0490376949310303,712800
2000-11-22,2.84375,2.875,2.8125,2.875,2.0829994678497314,404000
2000-11-24,2.875,2.875,2.8671875,2.875,2.0829994678497314,242400
2000-11-27,2.90625,2.9765625,2.875,2.96875,2.150923490524292,833600
2000-11-28,2.9453125,3.0234375,2.9375,2.9375,2.1282830238342285,1260800
2000-11-29,2.90625,2.90625,2.75,2.78125,2.015076160430908,128000
2000-11-30,2.75,2.765625,2.71875,2.765625,2.0037548542022705,688000
2000-12-01,2.734375,2.75,2.6875,2.75,1.9924352169036865,416800
2000-12-04,2.734375,2.890625,2.734375,2.890625,2.094320774078369,1025600
2000-12-05,2.890625,2.890625,2.78125,2.78125,2.015076160430908,1095200
2000-12-06,2.765625,2.8984375,2.765625,2.8828125,2.088660717010498,408800
2000-12-07,2.9140625,3.0625,2.9140625,3.0,2.173564910888672,440000
2000-12-08,3.03125,3.21875,3.0078125,3.171875,2.2980926036834717,424800
2000-12-11,3.171875,3.25,3.15625,3.2265625,2.337714910507202,264800
2000-12-12,3.1640625,3.21875,3.109375,3.1171875,2.258470058441162,470400
2000-12-13,3.1015625,3.1015625,3.0,3.0,2.173564910888672,324000
2000-12-14,3.0,3.0,2.515625,2.6328125,1.9075303077697754,1654400
2000-12-15,2.640625,2.640625,2.625,2.6328125,1.9075303077697754,32800
2000-12-18,2.65625,2.6640625,2.515625,2.578125,1.8679076433181763,369600
2000-12-19,2.5703125,2.59375,2.546875,2.59375,1.879227876663208,316800
2000-12-20,2.5859375,2.5859375,2.515625,2.53125,1.833945631980896,838400
2000-12-21,2.546875,2.625,2.53125,2.625,1.901869773864746,652000
2000-12-22,2.625,2.8125,2.625,2.796875,2.0263960361480713,232000
2000-12-26,2.8046875,3.0,2.8046875,2.9375,2.1282830238342285,272000
2000-12-27,3.0,3.125,3.0,3.125,2.2641305923461914,406400
2000-12-28,3.125,3.578125,3.125,3.53125,2.558466911315918,1199200
2000-12-29,3.53125,3.671875,3.53125,3.59375,2.6037495136260986,590400
2001-01-02,3.578125,3.625,3.25,3.265625,2.3660166263580322,1202400
2001-01-03,3.25,3.28125,3.21875,3.2578125,2.3603556156158447,487200
2001-01-04,3.25,3.25,3.1171875,3.125,2.2641305923461914,1032000
2001-01-05,3.109375,3.125,3.046875,3.046875,2.207526683807373,274400
2001-01-08,3.03125,3.03125,2.75,2.8046875,2.032057285308838,480000
2001-01-09,2.875,2.953125,2.8515625,2.90625,2.105640411376953,709600
2001-01-10,3.15625,3.296875,3.109375,3.140625,2.275451183319092,2014400
2001-01-11,3.15625,3.421875,3.15625,3.40625,2.4679019451141357,760000
2001-01-12,3.375,3.4375,3.328125,3.328125,2.4112985134124756,578400
2001-01-16,3.296875,3.59375,3.296875,3.5546875,2.5754480361938477,269600
2001-01-17,3.5546875,3.8125,3.53125,3.625,2.626391649246216,1263200
2001-01-18,3.625,3.7734375,3.625,3.75,2.716956615447998,450400
