,Price Change,Price Change Date,Direction
7592,0.05754593489198978,2011-01-18 00:00:00,Up
7596,0.032841552010137054,2011-01-24 00:00:00,Up
7655,0.037699885852194415,2011-04-18 00:00:00,Up
7699,0.03362944839744597,2011-06-21 00:00:00,Up
7701,0.042656871245221994,2011-06-23 00:00:00,Up
7733,0.055239383423724364,2011-08-09 00:00:00,Up
7743,0.04661066391888791,2011-08-23 00:00:00,Up
7746,0.03505934189640292,2011-08-26 00:00:00,Up
7752,0.03779199353674878,2011-09-06 00:00:00,Up
7761,0.04562246733947739,2011-09-19 00:00:00,Up
7764,0.033072867496966696,2011-09-22 00:00:00,Up
7766,0.03240479464441104,2011-09-26 00:00:00,Up
7773,0.05417705544371909,2011-10-05 00:00:00,Up
7774,0.03491125242044246,2011-10-06 00:00:00,Up
7860,0.03368988295540931,2012-02-09 00:00:00,Up
7865,0.03752341159476713,2012-02-16 00:00:00,Up
7877,0.033842237500980143,2012-03-06 00:00:00,Up
7883,0.033576669570539286,2012-03-14 00:00:00,Up
7896,0.030630612839977145,2012-04-02 00:00:00,Up
7906,0.06660139306381585,2012-04-17 00:00:00,Up
7910,0.036021016513262616,2012-04-23 00:00:00,Up
7930,0.051474636087295966,2012-05-21 00:00:00,Up
7932,0.03537408793034458,2012-05-23 00:00:00,Up
7939,0.03463994242887858,2012-06-04 00:00:00,Up
7949,0.03071685648993716,2012-06-18 00:00:00,Up
7973,0.030950642721083055,2012-07-23 00:00:00,Up
7995,0.032232158292861524,2012-08-22 00:00:00,Up
8020,0.033043070510565764,2012-09-27 00:00:00,Up
8033,0.030586350384948835,2012-10-16 00:00:00,Up
8037,0.0403104382663535,2012-10-22 00:00:00,Up
8049,0.03964626436833374,2012-11-09 00:00:00,Up
8054,0.047948606286494444,2012-11-16 00:00:00,Up
8055,0.0511594494502039,2012-11-19 00:00:00,Up
8067,0.06686857257718049,2012-12-06 00:00:00,Up
8069,0.03245906715315283,2012-12-10 00:00:00,Up
8074,0.03744785605004064,2012-12-17 00:00:00,Up
8083,0.05186643691347448,2012-12-31 00:00:00,Up
8094,0.03439602309774914,2013-01-16 00:00:00,Up
8101,0.03980638358524535,2013-01-28 00:00:00,Up
8107,0.039618230081228,2013-02-05 00:00:00,Up
8108,0.03075698751304956,2013-02-06 00:00:00,Up
8109,0.0349688270371562,2013-02-07 00:00:00,Up
8121,0.03171410943946751,2013-02-26 00:00:00,Up
8126,0.03431962742008543,2013-03-05 00:00:00,Up
8130,0.03262450797302119,2013-03-11 00:00:00,Up
8135,0.03685396974149646,2013-03-18 00:00:00,Up
8158,0.037652517930488516,2013-04-19 00:00:00,Up
8161,0.05796178174950328,2013-04-24 00:00:00,Up
8164,0.03242855072021489,2013-04-29 00:00:00,Up
8165,0.030504335085158152,2013-04-30 00:00:00,Up
8177,0.04523751029963696,2013-05-16 00:00:00,Up
8179,0.03650316796379394,2013-05-20 00:00:00,Up
8213,0.03197038542581487,2013-07-09 00:00:00,Up
8238,0.056852915711437246,2013-08-13 00:00:00,Up
